,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,پالايش,صندوق پالايشي يكم-سهام,16291,16177865,1134388422760,71580,70820,69980,-1600,-2.24,70120,-1460,-2.04,69670,71090,1400-10-19,2022-01-09
1,خودرو,ايران‌ خودرو,13904,546084675,1055318760881,1921,1942,1920,-1,-0.05,1933,12,0.62,1882,1977,1400-10-19,2022-01-09
2,دارا يكم,صندوق واسطه گري مالي يكم-سهام,11008,8011881,878227445570,111820,111090,109110,-2710,-2.42,109620,-2200,-1.97,108510,111400,1400-10-19,2022-01-09
3,شتران,پالايش نفت تهران,8351,118240164,448553950588,3977,3928,3782,-195,-4.9,3794,-183,-4.6,3779,3959,1400-10-19,2022-01-09
4,فملي,ملي‌ صنايع‌ مس‌ ايران‌,8295,130159931,924844502840,7240,7220,7150,-90,-1.24,7110,-130,-1.8,6960,7220,1400-10-19,2022-01-09
5,خساپا,سايپا,8231,296476063,493585915600,1679,1678,1650,-29,-1.73,1665,-14,-0.83,1622,1710,1400-10-19,2022-01-09
6,كمند,صندوق س. با درآمد ثابت كمند,7606,300697892,3013767459941,10017,10023,10023,6,0.06,10023,6,0.06,10022,10024,1400-10-19,2022-01-09
7,فولاد,فولاد مباركه اصفهان,7467,60495870,608531465420,10360,10230,10070,-290,-2.8,10060,-300,-2.9,9970,10300,1400-10-19,2022-01-09
8,شبندر,پالايش نفت بندرعباس,7072,92722524,582547692850,6560,6510,6300,-260,-3.96,6280,-280,-4.27,6240,6520,1400-10-19,2022-01-09
9,فرابورس,فرابورس ايران,6430,28254376,446157543320,16550,16200,15730,-820,-4.95,15790,-760,-4.59,15730,16450,1400-10-19,2022-01-09
10,شپنا,پالايش نفت اصفهان,6046,66534072,391256257990,6110,6090,5950,-160,-2.62,5880,-230,-3.76,5810,6100,1400-10-19,2022-01-09
11,بركت,گروه دارويي بركت,5828,19527985,317024523110,16940,16500,16100,-840,-4.96,16230,-710,-4.19,16100,16880,1400-10-19,2022-01-09
12,تپكو,توليدتجهيزات‌سنگين‌هپكو,5761,125062140,318533604631,2558,2598,2500,-58,-2.27,2547,-11,-0.43,2482,2634,1400-10-19,2022-01-09
13,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,5132,136884367,321033433956,2336,2343,2330,-6,-0.26,2345,9,0.39,2280,2400,1400-10-19,2022-01-09
14,توسن,توسعه سامانه ي نرم افزاري نگين,5007,9549546,211397975100,21200,22100,22250,1050,4.95,22150,950,4.48,21600,22250,1400-10-19,2022-01-09
15,نوري,پتروشيمي نوري,4685,2890242,294099170040,106220,105200,102080,-4140,-3.9,101760,-4460,-4.2,100910,105200,1400-10-19,2022-01-09
16,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,4623,100293861,219557243906,2281,2295,2196,-85,-3.73,2189,-92,-4.03,2167,2295,1400-10-19,2022-01-09
17,كالا,بورس كالاي ايران,4349,13955306,361296174440,27170,26400,25820,-1350,-4.97,25890,-1280,-4.71,25820,26940,1400-10-19,2022-01-09
18,وبصادر,بانك صادرات ايران,4325,161566964,314839484888,1948,1966,1941,-7,-0.36,1949,1,0.05,1916,1982,1400-10-19,2022-01-09
19,بورس,بورس اوراق بهادار تهران,3873,29547915,287115459310,10210,10000,9700,-510,-5,9720,-490,-4.8,9700,10070,1400-10-19,2022-01-09
20,ذوب,ذوب آهن اصفهان,3605,63435343,210114571944,3468,3430,3295,-173,-4.99,3312,-156,-4.5,3295,3432,1400-10-19,2022-01-09
21,ختوقا,قطعات‌ اتومبيل‌ ايران‌,3604,95135908,259005318479,2615,2628,2745,130,4.97,2722,107,4.09,2626,2745,1400-10-19,2022-01-09
22,خپارس,پارس‌ خودرو,3582,147497165,156465808051,1080,1070,1048,-32,-2.96,1061,-19,-1.76,1036,1100,1400-10-19,2022-01-09
23,فسبزوار,پارس فولاد سبزوار,3478,3673262,125435348880,34270,34270,34220,-50,-0.15,34150,-120,-0.35,33650,34310,1400-10-19,2022-01-09
24,امين,تامين سرمايه امين,3455,21891361,227235561010,10380,10070,10380,0,0,10380,0,0,10070,10600,1400-10-19,2022-01-09
25,فجهان,مجتمع جهان فولاد سيرجان,3424,25716292,141364457720,5500,5450,5500,0,0,5500,0,0,5400,5510,1400-10-19,2022-01-09
26,تسه0009,امتيازتسهيلات مسكن آذر 1400,3389,89967,99219566148,1050328,1102844,1102844,52516,5,1102844,52516,5,1102844,1102844,1400-10-19,2022-01-09
27,وسين,بيمه سينا,3361,3237589,10221031928,3075,3167,3167,92,2.99,3154,79,2.57,3105,3167,1400-10-19,2022-01-09
28,انرژي3,سايراشخاص بورس انرژي,3303,2613829,203592438320,81800,79000,77710,-4090,-5,77890,-3910,-4.78,77710,79850,1400-10-19,2022-01-09
29,وبملت,بانك ملت,3246,74772905,234602691993,3185,3189,3150,-35,-1.1,3138,-47,-1.48,3087,3220,1400-10-19,2022-01-09
30,وتجارت,بانك تجارت,3133,93000446,177037763873,1921,1910,1895,-26,-1.35,1904,-17,-0.88,1855,1948,1400-10-19,2022-01-09
31,زقيام,كشت و دام قيام اصفهان,3028,110873377,148767555277,1324,1390,1305,-19,-1.44,1342,18,1.36,1275,1390,1400-10-19,2022-01-09
