Open,Low,High,Close,Date,symbol,volume,gregorian_date,SMA5,EWMA5,RSI
15550.0,15550.0,16380.0,15880.0,1400-1-7,خشرق,4407546,2021-03-27,,15880.0,
15800.0,15570.0,16030.0,15670.0,1400-1-8,خشرق,2643513,2021-03-28,,15754.0,
15360.0,15360.0,15600.0,15380.0,1400-1-10,خشرق,2952101,2021-03-30,,15576.842105263158,
15150.0,15080.0,15560.0,15130.0,1400-1-11,خشرق,2900818,2021-03-31,,15391.23076923077,
14840.0,14830.0,15000.0,14990.0,1400-1-14,خشرق,1495694,2021-04-03,15410.0,15237.203791469194,
14700.0,14700.0,14700.0,14980.0,1400-1-15,خشرق,93609,2021-04-04,15230.0,15143.218045112782,
14690.0,14690.0,14690.0,14970.0,1400-1-16,خشرق,62253,2021-04-05,15090.0,15081.889266634289,
14680.0,14680.0,14680.0,14960.0,1400-1-17,خشرق,120225,2021-04-06,15006.0,15039.609833465505,
14670.0,14670.0,14670.0,14960.0,1400-1-18,خشرق,13376,2021-04-07,14972.0,15012.364508893643,
14670.0,14670.0,14670.0,14960.0,1400-1-21,خشرق,5038,2021-04-10,14966.0,14994.601637225334,
14670.0,14670.0,14670.0,14960.0,1400-1-22,خشرق,6362,2021-04-11,14962.0,14982.932855127672,
14670.0,14670.0,14670.0,14960.0,1400-1-23,خشرق,10507,2021-04-12,14960.0,14975.229195308575,
14670.0,14670.0,14670.0,14950.0,1400-1-24,خشرق,113566,2021-04-13,14958.0,14966.776029218267,
14660.0,14660.0,14660.0,14950.0,1400-1-25,خشرق,16094,2021-04-14,14956.0,14961.164798278012,
14660.0,14660.0,14660.0,14950.0,1400-1-28,خشرق,500,2021-04-17,14954.0,14957.434680537819,0.0
14660.0,14660.0,14660.0,14950.0,1400-1-29,خشرق,5275,2021-04-18,14952.0,14954.952674990232,0.0
14660.0,14660.0,14660.0,14950.0,1400-1-30,خشرق,1540,2021-04-19,14950.0,14953.300106036715,0.0
14510.0,14510.0,14510.0,14950.0,1400-2-1,خشرق,11366,2021-04-21,14950.0,14952.199325859812,0.0
14510.0,14510.0,14510.0,14950.0,1400-2-4,خشرق,400,2021-04-24,14950.0,14951.465886390473,0.0
14510.0,14510.0,14510.0,14950.0,1400-2-5,خشرق,686,2021-04-25,14950.0,14950.977110604763,0.0
14510.0,14510.0,14510.0,14950.0,1400-2-6,خشرق,350,2021-04-26,14950.0,14950.651341757823,0.0
14510.0,14510.0,14510.0,14950.0,1400-2-7,خشرق,21091,2021-04-27,14950.0,14950.434198815836,0.0
14510.0,14510.0,14510.0,14940.0,1400-2-8,خشرق,41568,2021-04-28,14948.0,14946.955822603917,0.0
14500.0,14500.0,14500.0,14940.0,1400-2-11,خشرق,1112,2021-05-01,14946.0,14944.637077328407,0.0
14500.0,14500.0,14500.0,14940.0,1400-2-12,خشرق,2825,2021-05-02,14944.0,14943.09132367047,0.0
14500.0,14500.0,14500.0,14940.0,1400-2-13,خشرق,11352,2021-05-03,14942.0,14942.060855241152,0.0
14500.0,14500.0,14500.0,14940.0,1400-2-15,خشرق,13742,2021-05-05,14940.0,14941.373891402889,0.0
14500.0,14500.0,14500.0,14940.0,1400-2-18,خشرق,857,2021-05-08,14940.0,14940.91592222813,0.0
14500.0,14500.0,14500.0,14940.0,1400-2-19,خشرق,4000,2021-05-09,14940.0,14940.610612430422,0.0
14500.0,14500.0,14500.0,14940.0,1400-2-20,خشرق,23544,2021-05-10,14940.0,14940.407073892142,0.0
14500.0,14500.0,14500.0,14920.0,1400-2-21,خشرق,141457,2021-05-11,14936.0,14933.60469227805,0.0
14480.0,14480.0,14480.0,14920.0,1400-2-22,خشرق,29757,2021-05-12,14932.0,14929.069784340933,0.0
14180.0,14180.0,14180.0,14920.0,1400-2-25,خشرق,4002,2021-05-15,14928.0,14926.046518222365,0.0
14180.0,14180.0,14180.0,14880.0,1400-2-26,خشرق,51883,2021-05-16,14916.0,14910.697663003406,0.0
