Open,Low,High,Close,Date,symbol,volume,gregorian_date,SMA5,EWMA5,RSI
7860.0,7860.0,7860.0,8020.0,1400-1-7,خوساز,155715,2021-03-27,,8020.0,
7860.0,7860.0,7860.0,8020.0,1400-1-8,خوساز,69139,2021-03-28,,8020.0,
7860.0,7860.0,7860.0,8020.0,1400-1-10,خوساز,23873,2021-03-30,,8020.0,
7860.0,7860.0,7860.0,8020.0,1400-1-11,خوساز,21119,2021-03-31,,8020.0,
7860.0,7860.0,7860.0,8020.0,1400-1-14,خوساز,8307,2021-04-03,8020.0,8020.0,
7860.0,7860.0,7860.0,8020.0,1400-1-15,خوساز,2700,2021-04-04,8020.0,8020.0,
7860.0,7860.0,7860.0,8020.0,1400-1-16,خوساز,10645,2021-04-05,8020.0,8020.0,
7860.0,7860.0,7860.0,8020.0,1400-1-17,خوساز,1300,2021-04-06,8020.0,8020.0,
7860.0,7860.0,7860.0,8020.0,1400-1-18,خوساز,4329,2021-04-07,8020.0,8020.0,
7860.0,7860.0,7860.0,8020.0,1400-1-22,خوساز,1640,2021-04-11,8020.0,8020.0,
7860.0,7860.0,7860.0,8020.0,1400-1-23,خوساز,666,2021-04-12,8020.0,8020.0,
7860.0,7860.0,7860.0,8020.0,1400-1-24,خوساز,20239,2021-04-13,8020.0,8020.0,
7860.0,7860.0,7860.0,8020.0,1400-1-25,خوساز,2000,2021-04-14,8020.0,8020.0,
7860.0,7860.0,7860.0,8020.0,1400-1-30,خوساز,6200,2021-04-19,8020.0,8020.0,
7780.0,7780.0,7780.0,8020.0,1400-2-1,خوساز,1020,2021-04-21,8020.0,8020.0,
7780.0,7780.0,7780.0,8020.0,1400-2-4,خوساز,2185,2021-04-24,8020.0,8020.0,
7780.0,7780.0,7780.0,8020.0,1400-2-5,خوساز,2550,2021-04-25,8020.0,8020.0,
7780.0,7780.0,7780.0,8020.0,1400-2-6,خوساز,6500,2021-04-26,8020.0,8020.0,
7780.0,7780.0,7780.0,8020.0,1400-2-7,خوساز,9920,2021-04-27,8020.0,8020.0,
7780.0,7780.0,7780.0,8020.0,1400-2-8,خوساز,4896,2021-04-28,8020.0,8020.0,
7780.0,7780.0,7780.0,8020.0,1400-2-11,خوساز,4360,2021-05-01,8020.0,8020.0,
7780.0,7780.0,7780.0,8020.0,1400-2-13,خوساز,663,2021-05-03,8020.0,8020.0,
7780.0,7780.0,7780.0,8020.0,1400-2-18,خوساز,7300,2021-05-08,8020.0,8020.0,
7780.0,7780.0,7780.0,8020.0,1400-2-19,خوساز,650,2021-05-09,8020.0,8020.0,
7780.0,7780.0,7780.0,8020.0,1400-2-20,خوساز,3396,2021-05-10,8020.0,8020.0,
7780.0,7780.0,7780.0,7900.0,1400-2-21,خوساز,3056787,2021-05-11,7996.0,7979.9989439153715,0.0
7670.0,7670.0,7670.0,7860.0,1400-2-22,خوساز,1007099,2021-05-12,7964.0,7939.998591899554,0.0
7470.0,7470.0,7470.0,7630.0,1400-2-25,خوساز,1107275,2021-05-15,7886.0,7836.664515414717,0.0
7250.0,7250.0,7250.0,7430.0,1400-2-26,خوساز,1023385,2021-05-16,7768.0,7701.108616537798,0.0
7060.0,7060.0,7060.0,7230.0,1400-2-27,خوساز,1011587,2021-05-17,7610.0,7544.07159206219,0.0
6870.0,6870.0,6870.0,7230.0,1400-2-28,خوساز,4179,2021-05-18,7476.0,7439.380697392815,0.0
6870.0,6870.0,6870.0,7230.0,1400-3-1,خوساز,2016,2021-05-22,7350.0,7369.586969825911,0.0
6870.0,6870.0,6870.0,7230.0,1400-3-3,خوساز,1000,2021-05-24,7270.0,7323.057907986613,0.0
6870.0,6870.0,6870.0,7230.0,1400-3-4,خوساز,739,2021-05-25,7230.0,7292.038573370081,0.0
6870.0,6870.0,6870.0,7230.0,1400-3-5,خوساز,1480,2021-05-26,7230.0,7271.359034711478,0.0
6870.0,6870.0,6870.0,7230.0,1400-3-8,خوساز,22926,2021-05-29,7230.0,7257.572683495696,0.0
6870.0,6870.0,6870.0,7230.0,1400-3-9,خوساز,4166,2021-05-30,7230.0,7248.381786191818,0.0
6870.0,6870.0,6870.0,7230.0,1400-3-10,خوساز,728,2021-05-31,7230.0,7242.254522881073,0.0
6510.0,6510.0,6510.0,7200.0,1400-3-11,خوساز,75452,2021-06-01,7224.0,7228.1696800100135,0.0
5400.0,5400.0,5670.0,5550.0,1400-3-19,خوساز,11816262,2021-06-09,6888.0,6668.779736083387,0.0
5360.0,5290.0,5820.0,5640.0,1400-3-22,خوساز,13685427,2021-06-12,6570.0,6325.853136713256,4.591524946227821
5530.0,5360.0,5800.0,5430.0,1400-3-23,خوساز,9941637,2021-06-13,6210.0,6027.235412472702,4.116568522563185
5210.0,5210.0,5620.0,5410.0,1400-3-24,خوساز,7544088,2021-06-14,5846.0,5821.490269468579,4.073352558785899
5270.0,5150.0,5530.0,5320.0,1400-3-25,خوساز,7590702,2021-06-15,5470.0,5654.326843326138,3.87615255779329
5300.0,5060.0,5300.0,5120.0,1400-3-26,خوساز,9145428,2021-06-16,5384.0,5476.217893429572,3.473696098324126
5120.0,5120.0,5370.0,5320.0,1400-3-29,خوساز,5730266,2021-06-19,5320.0,5424.145261872943,13.181379512396404
5500.0,5180.0,5500.0,5300.0,1400-3-30,خوساز,4572293,2021-06-20,5294.0,5382.763507696257,13.040146223539637
5620.0,5570.0,5790.0,5780.0,1400-4-1,خوساز,6926984,2021-06-22,5368.0,5515.175672264752,31.899351270614886
5980.0,5710.0,6060.0,5980.0,1400-4-2,خوساز,13148869,2021-06-23,5500.0,5670.117115207667,37.93881132003351
5990.0,5750.0,6130.0,5960.0,1400-4-5,خوساز,5958318,2021-06-26,5668.0,5766.7447436233215,37.57989999093968
5750.0,5750.0,6250.0,6130.0,1400-4-6,خوساز,9443951,2021-06-27,5830.0,5887.829829208816,42.55455169686799
6270.0,6130.0,6430.0,6320.0,1400-4-7,خوساز,7159834,2021-06-28,6034.0,6031.8865529062905,47.58263820539225
6620.0,6300.0,6630.0,6590.0,1400-4-8,خوساز,12610567,2021-06-29,6196.0,6217.924368690643,53.774529270409175
6590.0,6410.0,6870.0,6710.0,1400-4-9,خوساز,6383785,2021-06-30,6342.0,6381.949579177909,56.248223443111065
6600.0,6380.0,6870.0,6500.0,1400-4-12,خوساز,5004490,2021-07-03,6450.0,6421.2997194600675,51.09514200369512
6180.0,6180.0,6610.0,6380.0,1400-4-13,خوساز,6500532,2021-07-04,6500.0,6407.533146304817,48.36826624544821
6450.0,6220.0,6680.0,6550.0,1400-4-14,خوساز,6424710,2021-07-05,6546.0,6455.022097540904,52.255672092147186
6550.0,6230.0,6700.0,6370.0,1400-4-15,خوساز,7109047,2021-07-06,6502.0,6426.681398358869,48.12411114933573
6350.0,6100.0,6450.0,6270.0,1400-4-16,خوساز,3201754,2021-07-07,6414.0,6374.454265570449,45.95049382573934
6150.0,5960.0,6400.0,6180.0,1400-4-19,خوساز,3839583,2021-07-10,6350.0,6309.636177045203,44.02327977585836
6050.0,6040.0,6430.0,6290.0,1400-4-20,خوساز,3730624,2021-07-11,6332.0,6303.090784696684,46.95178117285941
6310.0,6090.0,6390.0,6220.0,1400-4-21,خوساز,3458245,2021-07-12,6266.0,6275.393856464121,45.32667446899915
6100.0,6020.0,6200.0,6090.0,1400-4-22,خوساز,3917344,2021-07-13,6210.0,6213.595904308916,42.3921025198696
6030.0,5980.0,6390.0,6250.0,1400-4-23,خوساز,8545673,2021-07-14,6206.0,6225.730602872676,46.94490988612029
6560.0,6500.0,6560.0,6560.0,1400-4-26,خوساز,6849608,2021-07-17,6282.0,6337.153735248849,54.455285069932984
6870.0,6610.0,6880.0,6870.0,1400-4-27,خوساز,16501191,2021-07-18,6398.0,6514.769156832991,60.47999630863081
6760.0,6750.0,7210.0,7120.0,1400-4-28,خوساز,12547560,2021-07-19,6578.0,6716.512771222316,64.5523769566321
6920.0,6770.0,7210.0,6820.0,1400-5-4,خوساز,10434227,2021-07-26,6724.0,6751.008514148248,56.96632949585489
6790.0,6480.0,6790.0,6520.0,1400-5-5,خوساز,5422472,2021-07-27,6778.0,6674.005676098777,50.56672902191693
6700.0,6560.0,6840.0,6750.0,1400-5-6,خوساز,4387994,2021-07-28,6816.0,6699.337117399196,54.762612376428486
6650.0,6650.0,7080.0,7030.0,1400-5-9,خوساز,7790123,2021-07-31,6848.0,6809.5580782661655,59.292555751181595
