,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ,gregorian_date
0,سپيدار,سپيدار سيستم آسيا,57275,7898611,522717660516,66887,66118,65560,-1327,-1.98,66178,-709,-1.06,65550,68380,1400-1-7,2021-03-27
1,پالايش,صندوق پالايشي يكم-سهام,33885,30709876,2564780945750,85740,83800,83030,-2710,-3.16,83520,-2220,-2.59,82500,84850,1400-1-7,2021-03-27
2,شتران,پالايش نفت تهران,33376,422791796,4310600270920,9730,10020,10270,540,5.55,10200,470,4.83,9750,10310,1400-1-7,2021-03-27
3,خساپا,سايپا,29969,1441935998,3538354930270,2360,2370,2500,140,5.93,2450,90,3.81,2320,2500,1400-1-7,2021-03-27
4,خودرو,ايران‌ خودرو,28283,878226906,2312728588060,2540,2520,2670,130,5.12,2630,90,3.54,2490,2690,1400-1-7,2021-03-27
5,شپنا,پالايش نفت اصفهان,26052,230198963,3313272646450,14670,14380,14380,-290,-1.98,14390,-280,-1.91,14380,14620,1400-1-7,2021-03-27
6,كزغال,زغال سنگ پروده طبس,21266,8400341,322176811274,37187,37850,38050,863,2.32,38353,1166,3.14,37560,39302,1400-1-7,2021-03-27
7,اپال,فرآوري معدني اپال كاني پارس,19119,41146549,724600401320,17900,18080,17570,-330,-1.84,17610,-290,-1.62,17550,18080,1400-1-7,2021-03-27
8,دارا يكم,صندوق واسطه گري مالي يكم-سهام,18262,11865728,1736692191790,148210,147500,145700,-2510,-1.69,146360,-1850,-1.25,143610,148040,1400-1-7,2021-03-27
9,زملارد,كشاورزي و دامپروري ملارد شير,18003,4680305,167438875120,35527,34817,36950,1423,4.01,35775,248,0.7,34817,37658,1400-1-7,2021-03-27
10,فملي,ملي‌ صنايع‌ مس‌ ايران‌,16535,68915066,925602812600,13610,13370,13350,-260,-1.91,13430,-180,-1.32,13340,13740,1400-1-7,2021-03-27
11,فولاد,فولاد مباركه اصفهان,15439,76163418,1070518206970,14170,14100,13920,-250,-1.76,14060,-110,-0.78,13890,14320,1400-1-7,2021-03-27
12,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,12342,385926596,1164078851570,2900,2900,3070,170,5.86,3020,120,4.14,2850,3070,1400-1-7,2021-03-27
13,پترول,گ.س.وت.ص.پتروشيمي خليج فارس,11530,62815773,699362587000,11000,11300,11080,80,0.73,11130,130,1.18,10780,11440,1400-1-7,2021-03-27
14,ولپارس,ليزينگ پارسيان,10656,11500438,59194955040,4930,5000,5220,290,5.88,5150,220,4.46,4860,5220,1400-1-7,2021-03-27
