Open,Low,High,Close,Date,symbol,volume,gregorian_date,SMA5,EWMA5,RSI
2370.0,2320.0,2500.0,2450.0,1400-1-7,خساپا,1441935998,2021-03-27,,2450.0,
2500.0,2420.0,2560.0,2480.0,1400-1-8,خساپا,796064822,2021-03-28,,2468.0000000000005,
2470.0,2440.0,2480.0,2450.0,1400-1-10,خساپا,357589439,2021-03-30,,2459.4736842105262,
2410.0,2410.0,2430.0,2410.0,1400-1-11,خساپا,46336832,2021-03-31,,2438.923076923077,
2370.0,2370.0,2370.0,2400.0,1400-1-14,خساپا,12418780,2021-04-03,2438.0,2423.9810426540284,
2360.0,2360.0,2360.0,2390.0,1400-1-15,خساپا,12629379,2021-04-04,2426.0,2411.563909774436,
2350.0,2350.0,2350.0,2350.0,1400-1-16,خساپا,53498173,2021-04-05,2400.0,2389.7668771248177,
2330.0,2310.0,2370.0,2320.0,1400-1-17,خساپا,383055567,2021-04-06,2374.0,2365.5670103092784,
2280.0,2280.0,2280.0,2300.0,1400-1-18,خساپا,18788666,2021-04-07,2352.0,2343.1276407073187,
2260.0,2260.0,2260.0,2300.0,1400-1-21,خساپا,3617170,2021-04-10,2332.0,2328.498061180526,
2260.0,2260.0,2260.0,2290.0,1400-1-22,خساپا,7913207,2021-04-11,2312.0,2315.5152799273556,
2250.0,2250.0,2250.0,2250.0,1400-1-23,خساپا,86045112,2021-04-12,2292.0,2293.507229612493,
2240.0,2210.0,2320.0,2240.0,1400-1-24,خساپا,1460875386,2021-04-13,2276.0,2275.5793689171956,
2230.0,2200.0,2250.0,2200.0,1400-1-25,خساپا,443747364,2021-04-14,2256.0,2250.2996505884194,
2160.0,2160.0,2160.0,2180.0,1400-1-28,خساپا,27755000,2021-04-17,2232.0,2226.8127977801837,5.467149833840395
2140.0,2140.0,2140.0,2180.0,1400-1-29,خساپا,4268626,2021-04-18,2210.0,2211.1847390899065,5.467149833840395
2140.0,2140.0,2140.0,2170.0,1400-1-30,خساپا,14488065,2021-04-19,2194.0,2197.4425449598743,5.1802309738589685
