Open,Low,High,Close,Date,symbol,volume,gregorian_date,SMA5,EWMA5,RSI
23310.0,23310.0,23780.0,23370.0,1400-1-7,ختور,2262348,2021-03-27,,23370.0,
22910.0,22910.0,23290.0,22990.0,1400-1-8,ختور,1800712,2021-03-28,,23142.0,
22540.0,22540.0,22540.0,22950.0,1400-1-10,ختور,182855,2021-03-30,,23051.052631578947,
22500.0,22500.0,22500.0,22940.0,1400-1-11,ختور,52075,2021-03-31,,23004.923076923078,
22490.0,22490.0,22490.0,22930.0,1400-1-14,ختور,33657,2021-04-03,23036.0,22976.16113744076,
22480.0,22480.0,22480.0,22930.0,1400-1-15,ختور,13430,2021-04-04,22948.0,22959.293233082706,
22480.0,22480.0,22480.0,22930.0,1400-1-16,ختور,7637,2021-04-05,22936.0,22948.921806702285,
19890.0,19500.0,20980.0,19690.0,1400-1-18,ختور,4272400,2021-04-07,22284.0,21818.507533703414,
19300.0,19300.0,19300.0,19680.0,1400-1-21,ختور,74917,2021-04-10,21632.0,21086.633978404887,
19290.0,19290.0,19290.0,19680.0,1400-1-22,ختور,10300,2021-04-11,20982.0,20609.481430417924,
19290.0,19290.0,19290.0,19680.0,1400-1-23,ختور,8452,2021-04-12,20332.0,20296.03047418889,
19290.0,19290.0,19290.0,19660.0,1400-1-24,ختور,100015,2021-04-13,19678.0,20082.373588447794,
19270.0,19270.0,19270.0,19660.0,1400-1-25,ختور,23131,2021-04-14,19672.0,19940.8552383126,
19270.0,19270.0,19270.0,19660.0,1400-1-28,ختور,6710,2021-04-17,19668.0,19846.91503455829,
19270.0,19270.0,19270.0,19660.0,1400-1-29,ختور,5099,2021-04-18,19664.0,19784.467414014354,0.0
19270.0,19270.0,19270.0,19660.0,1400-1-30,ختور,4881,2021-04-19,19660.0,19742.915015023438,0.0
19080.0,19080.0,19080.0,19660.0,1400-2-1,ختور,11918,2021-04-21,19660.0,19715.24859639543,0.0
19080.0,19080.0,19080.0,19660.0,1400-2-4,ختور,6234,2021-04-24,19660.0,19696.81992803229,0.0
19080.0,19080.0,19080.0,19660.0,1400-2-5,ختور,1145,2021-04-25,19660.0,19684.541079785828,0.0
19080.0,19080.0,19080.0,19660.0,1400-2-6,ختور,10126,2021-04-26,19660.0,19676.358259048506,0.0
19080.0,19080.0,19080.0,19640.0,1400-2-7,ختور,97413,2021-04-27,19656.0,19664.236409107212,0.0
19060.0,19060.0,19060.0,19640.0,1400-2-8,ختور,11055,2021-04-28,19652.0,19656.156526137085,0.0
19060.0,19060.0,19060.0,19640.0,1400-2-11,ختور,665,2021-05-01,19648.0,19650.77053750735,0.0
19060.0,19060.0,19060.0,19600.0,1400-2-15,ختور,155342,2021-05-05,19636.0,19633.846019634515,0.0
19020.0,19020.0,19020.0,19600.0,1400-2-18,ختور,1486,2021-05-08,19624.0,19622.563566280514,0.0
19020.0,19020.0,19020.0,19600.0,1400-2-19,ختور,2184,2021-05-09,19616.0,19615.04217894505,0.0
19020.0,19020.0,19020.0,19590.0,1400-2-20,ختور,49712,2021-05-10,19606.0,19606.694639038767,0.0
19010.0,19010.0,19010.0,19590.0,1400-2-21,ختور,13263,2021-05-11,19596.0,19601.129694060317,0.0
19010.0,19010.0,19010.0,19590.0,1400-2-22,ختور,3266,2021-05-12,19594.0,19597.41976701878,0.0
18620.0,18620.0,18620.0,19570.0,1400-2-25,ختور,14269,2021-05-15,19588.0,19588.279797013372,0.0
18600.0,18600.0,18600.0,19550.0,1400-2-26,ختور,13439,2021-05-16,19578.0,19575.519820312587,0.0
18580.0,18580.0,18580.0,19540.0,1400-2-27,ختور,10877,2021-05-17,19568.0,19563.67985276548,0.0
18570.0,18570.0,18570.0,19530.0,1400-2-28,ختور,10853,2021-05-18,19556.0,19552.45321782944,0.0
17580.0,17580.0,17580.0,19310.0,1400-2-29,ختور,86350,2021-05-19,19500.0,19471.635395299105,0.0
18350.0,18350.0,18350.0,19070.0,1400-3-1,ختور,192225,2021-05-22,19400.0,19337.756838256766,0.0
18120.0,18120.0,18120.0,19060.0,1400-3-2,ختور,5188,2021-05-23,19302.0,19245.171183115002,0.0
18110.0,18110.0,18110.0,19000.0,1400-3-3,ختور,53028,2021-05-24,19194.0,19163.44743046568,0.0
18050.0,18050.0,18050.0,18810.0,1400-3-4,ختور,159178,2021-05-25,19050.0,19045.631596336712,0.0
17870.0,17870.0,17870.0,18610.0,1400-3-5,ختور,161845,2021-05-26,18910.0,18900.42104452571,0.0
17680.0,17680.0,17680.0,18430.0,1400-3-8,ختور,153649,2021-05-29,18782.0,18743.614015502535,0.0
17510.0,17510.0,17510.0,18250.0,1400-3-9,ختور,158417,2021-05-30,18620.0,18579.07600041473,0.0
17340.0,17340.0,17340.0,18240.0,1400-3-10,ختور,12291,2021-05-31,18468.0,18466.050662400154,0.0
17330.0,17330.0,17330.0,18230.0,1400-3-11,ختور,7093,2021-06-01,18352.0,18387.367106158337,0.0
17320.0,17320.0,17320.0,18220.0,1400-3-12,ختور,9998,2021-06-02,18274.0,18331.578069775598,0.0
17310.0,17310.0,17310.0,18030.0,1400-3-17,ختور,173409,2021-06-07,18194.0,18231.05204531985,0.0
17130.0,17130.0,17130.0,17950.0,1400-3-18,ختور,71594,2021-06-08,18134.0,18137.368029469417,0.0
17060.0,17060.0,17060.0,17920.0,1400-3-19,ختور,23884,2021-06-09,18070.0,18064.912019262763,0.0
17030.0,17030.0,17030.0,17700.0,1400-3-22,ختور,208656,2021-06-12,17964.0,17943.274679079284,0.0
16820.0,16820.0,16820.0,17690.0,1400-3-23,ختور,12980,2021-06-13,17858.0,17858.849785854247,0.0
16810.0,16810.0,16810.0,17660.0,1400-3-24,ختور,28292,2021-06-14,17784.0,17792.566523798876,0.0
16780.0,16780.0,16780.0,17630.0,1400-3-25,ختور,26975,2021-06-15,17720.0,17738.377682475926,0.0
16750.0,16750.0,16750.0,17600.0,1400-3-26,ختور,30962,2021-06-16,17656.0,17692.25178828513,0.0
16720.0,16720.0,16720.0,17570.0,1400-3-29,ختور,24462,2021-06-19,17630.0,17651.501192171152,0.0
16700.0,16700.0,16700.0,17570.0,1400-3-30,ختور,3931,2021-06-20,17606.0,17624.334128105686,0.0
16650.0,16650.0,16650.0,17040.0,1400-4-1,ختور,471324,2021-06-22,17482.0,17429.556085363565,0.0
16190.0,16190.0,16730.0,16250.0,1400-4-2,ختور,33188409,2021-06-23,17206.0,17036.370723521573,0.0
16020.0,15440.0,17060.0,16510.0,1400-4-5,ختور,44385161,2021-06-26,16988.0,16860.913815664942,11.792867225540263
17300.0,16780.0,17330.0,17270.0,1400-4-6,ختور,9662553,2021-06-27,16928.0,16997.275877118307,35.673035978590306
17900.0,16500.0,17900.0,17160.0,1400-4-7,ختور,15734632,2021-06-28,16846.0,17051.517251414418,34.228637333615026
16990.0,16520.0,17700.0,17060.0,1400-4-8,ختور,11058467,2021-06-29,16850.0,17054.344834276355,32.92353242244637
16550.0,16210.0,17190.0,16610.0,1400-4-9,ختور,9848717,2021-06-30,16922.0,16906.229889514885,27.788750229344885
16970.0,16670.0,17440.0,17320.0,1400-4-12,ختور,17143984,2021-07-03,17084.0,17044.15325967826,42.91601484852695
17000.0,16670.0,17750.0,17140.0,1400-4-13,ختور,8030933,2021-07-04,17058.0,17076.1021731191,40.594246598695044
16910.0,16460.0,17340.0,16700.0,1400-4-14,ختور,8300443,2021-07-05,16966.0,16950.734782078725,35.53362514454081
16410.0,16210.0,17080.0,16410.0,1400-4-15,ختور,14604896,2021-07-06,16836.0,16770.489854718508,32.64503142595906
16700.0,16100.0,16920.0,16410.0,1400-4-16,ختور,10415475,2021-07-07,16796.0,16650.326569812052,32.64503142595906
16870.0,16300.0,17190.0,16780.0,1400-4-21,ختور,5287106,2021-07-12,16688.0,16693.551046541437,39.877061707395875
16660.0,16660.0,17610.0,17540.0,1400-4-22,ختور,13367045,2021-07-13,16768.0,16975.700697694592,51.41631275678762
18000.0,17610.0,18410.0,18350.0,1400-4-23,ختور,10854692,2021-07-14,17098.0,17433.80046513005,60.18674868655448
19260.0,19000.0,19260.0,19260.0,1400-4-26,ختور,4732173,2021-07-17,17668.0,18042.53364342032,67.32359082233424
20000.0,18300.0,20000.0,18620.0,1400-4-27,ختور,16074908,2021-07-18,18110.0,18235.02242894694,59.27575995343571
17860.0,17750.0,19000.0,18300.0,1400-4-28,ختور,9023107,2021-07-19,18414.0,18256.681619297964,55.691068292695036
18050.0,18050.0,19210.0,19070.0,1400-5-4,ختور,10288340,2021-07-26,18720.0,18527.78774619868,61.69404190571589
18510.0,18510.0,20000.0,19400.0,1400-5-5,ختور,10739574,2021-07-27,18930.0,18818.52516413248,63.948325226498625
19000.0,19000.0,20370.0,20160.0,1400-5-6,ختور,12577823,2021-07-28,19110.0,19265.683442755013,68.54013011792314
19600.0,19600.0,21000.0,20100.0,1400-5-9,ختور,8668123,2021-07-31,19406.0,19543.788961836686,67.80587388676526
19600.0,19100.0,20200.0,19360.0,1400-5-10,ختور,9672579,2021-08-01,19618.0,19482.52597455779,59.35970769483586
18660.0,18660.0,20300.0,19830.0,1400-5-11,ختور,7625769,2021-08-02,19770.0,19598.350649705197,62.55043645697863
19860.0,19100.0,20590.0,19610.0,1400-5-12,ختور,4573206,2021-08-03,19812.0,19602.233766470134,60.169124657482264
19120.0,18630.0,19780.0,18710.0,1400-5-13,ختور,6754788,2021-08-04,19522.0,19304.822510980084,51.526918836586844
18720.0,17780.0,19000.0,18050.0,1400-5-16,ختور,6059843,2021-08-07,19112.0,18886.54834065339,46.277546838218335
18050.0,17600.0,18580.0,18150.0,1400-5-17,ختور,2958251,2021-08-08,18870.0,18641.03222710226,47.15598208948522
17610.0,17610.0,18740.0,18220.0,1400-5-18,ختور,9026347,2021-08-09,18548.0,18500.688151401508,47.799427794947434
18610.0,18300.0,19130.0,18720.0,1400-5-19,ختور,10076616,2021-08-10,18370.0,18573.79210093434,52.27000982595956
18720.0,18250.0,19290.0,18850.0,1400-5-20,ختور,8501856,2021-08-11,18398.0,18665.861400622893,53.38776518690483
18630.0,18630.0,19790.0,19430.0,1400-5-23,ختور,10108497,2021-08-14,18674.0,18920.57426708193,58.10206657228726
19430.0,19000.0,19870.0,19260.0,1400-5-24,ختور,6144139,2021-08-15,18896.0,19033.716178054623,56.304575597726455
19310.0,19310.0,20580.0,19970.0,1400-6-1,ختور,9554289,2021-08-23,19246.0,19345.810785369747,61.641929522934525
19780.0,19780.0,20780.0,20370.0,1400-6-2,ختور,10670752,2021-08-24,19576.0,19687.2071902465,64.28850564596368
20620.0,20620.0,21380.0,21110.0,1400-6-3,ختور,13658939,2021-08-25,20028.0,20161.47146016433,68.60424301259876
21940.0,21700.0,22160.0,22120.0,1400-6-6,ختور,8853028,2021-08-28,20566.0,20814.31430677622,73.33992646023212
23000.0,21500.0,23220.0,22770.0,1400-6-7,ختور,16779880,2021-08-29,21268.0,21466.209537850813,75.86321962247666
21640.0,21640.0,22680.0,21810.0,1400-6-8,ختور,5687111,2021-08-30,21636.0,21580.80635856721,65.93711459634227
21010.0,21000.0,22900.0,21980.0,1400-6-9,ختور,15530444,2021-08-31,21958.0,21713.870905711472,66.76636895279648
22700.0,21600.0,23070.0,22840.0,1400-6-10,ختور,14382572,2021-09-01,22304.0,22089.247270474316,70.65798888250528
23030.0,23010.0,23980.0,23820.0,1400-6-13,ختور,10273659,2021-09-04,22644.0,22666.164846982876,74.3447216836687
23900.0,23710.0,25010.0,24850.0,1400-6-14,ختور,14459057,2021-09-05,23060.0,23394.109897988586,77.53902545131193
25700.0,25110.0,26090.0,25920.0,1400-6-15,ختور,10695108,2021-09-06,23882.0,24236.073265325726,80.28517201349474
25150.0,24800.0,27210.0,26690.0,1400-6-16,ختور,19690847,2021-09-07,24824.0,25054.048843550485,81.99150636400338
26690.0,25410.0,28020.0,26780.0,1400-6-17,ختور,16656517,2021-09-08,25612.0,25629.36589570032,82.1855856380039
25600.0,25450.0,26000.0,25530.0,1400-6-20,ختور,3904514,2021-09-11,25954.0,25596.24393046688,70.77667642850435
24260.0,24260.0,24260.0,24260.0,1400-6-21,ختور,899855,2021-09-12,25836.0,25150.82928697792,61.44399751971787
23050.0,23050.0,25470.0,24560.0,1400-6-22,ختور,17758677,2021-09-13,25564.0,24953.886191318616,62.69535470395155
25770.0,25400.0,25780.0,25740.0,1400-6-23,ختور,7879566,2021-09-14,25374.0,25215.924127545743,67.20408703062566
25740.0,25740.0,27020.0,26910.0,1400-6-24,ختور,14469864,2021-09-15,25400.0,25780.6160850305,70.95281652964461
